shortnam;africa;lat_abst;avexpr;logpgp95;other;asia;loghjypl;baseco
AFG;0;0.3666667;;;0;1;;
AGO;1;0.1366667;5.363636;7.770645;0;0;-3.411248;1
ARE;0;0.2666667;7.181818;9.804219;0;1;;
ARG;0;0.3777778;6.386364;9.133459;0;0;-0.8722738;1
ARM;0;0.4444444;;7.682482;0;1;;
AUS;0;0.3;9.318182;9.897972;1;0;-0.1707883;1
AUT;0;0.5244445;9.727273;9.974877;0;0;-0.3438998;
AZE;0;0.4477778;;7.306531;0;1;;
BDI;1;0.0366667;;6.565265;0;0;-3.506558;
BEL;0;0.5611111;9.681818;9.992871;0;0;-0.1791266;
BEN;1;0.1033333;;7.090077;0;0;-2.830218;
BFA;1;0.1444445;4.454545;6.84588;0;0;-3.540459;1
BGD;0;0.2666667;5.136364;6.877296;0;1;-2.063568;1
BGR;0;0.4777778;8.909091;8.457443;0;0;;
BHR;0;0.2888889;8;9.685953;0;1;;
BHS;0;0.2683333;7.5;9.285448;0;0;;1
BIH;0;0.4888889;;;0;0;;
BLR;0;0.5888889;;8.340456;0;0;;
BLZ;0;0.1905556;;8.377932;0;0;;
BOL;0;0.1888889;5.636364;7.926602;0;0;-1.966113;1
BRA;0;0.1111111;7.909091;8.727454;0;0;-1.142564;1
BRB;0;0.1455556;;9.266721;0;0;-0.9063404;
BTN;0;0.3033333;;;0;0;;
BWA;1;0.2444444;7.727273;8.855093;0;0;-2.36446;
CAF;1;0.0777778;;7.192934;0;0;-3.411248;
CAN;0;0.6666667;9.727273;9.986449;0;0;-0.0608122;1
CHE;0;0.5222222;10;10.12021;0;0;-0.1346749;
CHL;0;0.3333333;7.818182;9.336092;0;0;-1.335601;1
CHN;0;0.3888889;7.772727;7.886081;0;1;-2.813411;
CIV;1;0.0888889;7;7.444249;0;0;-2.333044;1
CMR;1;0.0666667;6.454545;7.501082;0;0;-2.577022;1
COG;1;0.0111111;4.681818;7.420579;0;0;-2.103734;1
COL;0;0.0444444;7.318182;8.809863;0;0;-1.331806;1
COM;1;0.1344444;;7.383989;0;0;-3.352407;
CPV;1;0.1777778;;7.979339;0;0;-2.577022;
CRI;0;0.1111111;7.045455;8.794825;0;0;-1.358679;1
CZE;0;0.5494444;8.863636;9.204322;0;0;-1.555897;
DEU;0;0.5666667;;9.935471;0;0;-0.2008929;
DJI;1;0.1255556;;;0;0;;
DNK;0;0.6222222;9.727273;10.00559;0;0;-0.3710637;
DOM;0;0.2111111;6.181818;8.364042;0;0;-1.579879;1
DZA;1;0.3111111;6.5;8.389359;0;0;-1.114742;1
ECU;0;0.0222222;6.545455;8.470101;0;0;-1.439695;1
EGY;1;0.3;6.772727;7.95156;0;0;-1.676647;1
ERI;1;0.1666667;;6.620073;0;0;;
ESP;0;0.4444444;9.681818;9.618468;0;0;-0.3827257;
EST;0;0.6555555;;8.393895;0;0;;
ETH;1;0.0888889;5.727273;6.109248;0;0;;1
FIN;0;0.7111111;9.727273;9.826066;0;0;-0.3092462;
FJI;0;0.2;;8.301521;1;0;-1.298283;
FRA;0;0.5111111;9.727273;9.963641;0;0;-0.2008929;
GAB;1;0.0111111;7.818182;8.907883;0;0;-1.851509;1
GBR;0;0.6;9.772727;9.87817;0;0;-0.3188288;
GEO;0;0.4666667;;7.37149;0;1;;
GHA;1;0.0888889;6.272727;7.36518;0;0;-2.956511;1
GIN;1;0.1222222;6.545455;7.489971;0;0;-3.146555;1
GMB;1;0.1475556;8.272727;7.272398;0;0;-3.036554;1
GNB;1;0.1333333;4.545455;;0;0;-3.244194;
GRC;0;0.4333333;7.818182;9.39765;0;0;-0.7571525;
GTM;0;0.17;5.136364;8.294049;0;0;-1.560648;1
GUY;0;0.0555556;5.886364;7.904704;0;0;-2.253795;1
HKG;0;0.2461111;8.136364;10.04975;0;1;-0.4975804;1
HND;0;0.1666667;5.318182;7.68708;0;0;-2.040221;1
HRV;0;0.5011111;;8.418477;0;0;;
HTI;0;0.2111111;3.727273;7.146772;0;0;-2.864704;1
HUN;0;0.5222222;9;8.809863;0;0;-1.180907;
IDN;0;0.0556;7.590909;8.070906;0;1;-2.207275;1
IND;0;0.2222;8.272727;7.326;0;1;-2.453408;1
IRL;0;0.5888889;9.727273;9.769384;0;0;-0.549913;
IRN;0;0.3555556;4.772727;8.605204;0;1;-1.22078;
IRQ;0;0.3666667;1.636364;;0;1;;
ISL;0;0.7222222;9.727273;9.943669;0;0;-0.3147107;
ISR;0;0.3477778;8.545455;9.784141;0;1;-0.4170318;
ITA;0;0.4722222;9.454545;9.897972;0;0;-0.1815219;
JAM;0;0.2016667;7.090909;8.188689;0;0;-2.040221;1
JOR;0;0.3444445;6.772727;8.171882;0;1;-0.87707;
JPN;0;0.4;9.727273;10.03408;0;1;-0.5327305;
KAZ;0;0.5333334;;8.131531;0;1;;
KEN;1;0.0111111;6.045455;7.056175;0;0;-2.882404;1
KGZ;0;0.4555556;;7.575585;0;1;;
KOR;0;0.4111111;8.636364;9.415728;0;1;-0.967584;
KWT;0;0.3255555;7.045455;9.803667;0;1;;
LAO;0;0.2;;7.090077;0;1;;
LBR;1;0.07;3.636364;;0;0;;
LBY;1;0.2777778;5.272727;;0;0;;
LKA;0;0.0777778;6.045455;7.731931;0;1;-1.86433;1
LSO;1;0.3255555;;7.306531;0;0;-2.764621;
LTU;0;0.6222222;;8.237479;0;0;;
LUX;0;0.5494444;10;10.28875;0;0;-0.0140989;
LVA;0;0.6333333;;8.154788;0;0;;
MAR;1;0.3555556;7.090909;8.042378;0;0;-1.676647;1
MDA;0;0.5222222;;7.377759;0;0;;
MDG;1;0.2222222;4.454545;6.835185;0;0;-3.194183;1
MEX;0;0.2555556;7.5;8.943768;0;0;-0.8370175;1
MKD;0;0.4611111;;8.061487;0;0;;
MLI;1;0.1888889;4;6.565265;0;0;-3.352407;1
MLT;0;0.3944444;7.227273;9.427063;1;0;-0.7700282;1
MMR;0;0.2444444;5.772727;;0;1;-3.540459;
MNG;0;0.5111111;7.363636;7.299798;0;1;;
MOZ;1;0.2016667;6.5;6.461468;0;0;-3.244194;
MRT;1;0.2222222;;7.414573;0;0;-2.995732;
MUS;1;0.2241111;;9.053686;0;0;-1.339411;
MWI;1;0.1477778;6.818182;6.461468;0;0;-3.506558;
MYS;0;0.0255556;7.954545;8.894258;0;1;-1.320507;1
NAM;1;0.2444444;;8.515191;0;0;-1.639897;
NER;1;0.1777778;5;6.733402;0;0;-3.540459;1
NGA;1;0.1111111;5.545455;6.813445;0;0;-3.036554;1
NIC;0;0.1444445;5.227273;7.544332;0;0;-2.071473;1
NLD;0;0.5811111;10;9.896966;0;0;-0.2156715;
NOR;0;0.6888889;9.954545;10.02393;0;0;-0.2757535;
NPL;0;0.3111111;;6.937314;0;1;;
NZL;0;0.4555556;9.727273;9.756147;1;0;-0.3326794;1
OMN;0;0.2333333;7.136364;9.208339;0;1;-0.8580219;
PAK;0;0.3333333;6.045455;7.352441;0;1;-2.055725;1
PAN;0;0.1;5.909091;8.836374;0;0;-1.500584;1
PER;0;0.1111111;5.772727;8.396154;0;0;-1.439695;1
PHL;0;0.1444445;5.454545;8.098643;0;1;-2.071473;
PNG;0;0.0666667;7.272727;;0;1;-2.551046;
POL;0;0.5777778;7.681818;8.655214;0;0;-1.435485;
PRK;0;0.4444444;;;0;0;;
PRT;0;0.4366667;9.181818;9.489486;0;0;-1.005122;
PRY;0;0.2555556;6.954545;8.207947;0;0;-1.771957;1
QAT;0;0.2811111;7.727273;9.685331;0;1;;
ROM;0;0.5111111;7.272727;8.387085;0;0;-2.180367;
RUS;0;0.6666667;8.454545;8.405144;0;0;-0.8746691;
RWA;1;0.0222222;;6.476973;0;0;-3.146555;
SAU;0;0.2777778;7.590909;9.2399;0;1;-0.638659;
SDN;1;0.1666667;4;7.306531;0;0;-2.703063;1
SEN;1;0.1555556;6;7.402452;0;0;-2.631089;1
SGP;0;0.0135556;9.318182;10.14643;0;1;-0.5008753;1
SLE;1;0.0922222;5.818182;6.253829;0;0;-2.748872;1
SLV;0;0.15;5;7.948032;0;0;-1.851509;1
SOM;1;0.1111111;3;;0;0;-3.015935;
STP;0;0.0111111;8.409091;;0;0;;
SUR;0;0.0444444;4.681818;8.01;0;0;-1.370421;
SVK;0;0.5377778;;8.852236;0;0;;
SVN;0;0.5111111;;9.300181;0;0;;
SWE;0;0.6888889;9.5;9.866304;0;0;-0.239527;
SWZ;1;0.2922222;;8.10772;0;0;-1.807889;
SYR;0;0.3888889;5.818182;8.029433;0;1;-0.8255364;
TCD;1;0.1666667;;6.835185;0;0;-3.442019;
TGO;1;0.0888889;6.909091;7.222566;0;0;-3.218876;1
THA;0;0.1666667;7.636364;8.774931;0;1;-1.851509;
TJK;0;0.4333333;;6.887553;0;1;;
TKM;0;0.4444444;;7.640123;0;1;;
TTO;0;0.1222222;7.454545;8.76873;0;0;-0.6971552;1
TUN;1;0.3777778;6.454545;8.482602;0;0;-1.527858;1
TUR;0;0.4333333;7.454545;8.641179;0;1;-1.52326;
TWN;0;;9.227273;;0;1;-0.809681;
TZA;1;0.0666667;6.636364;6.253829;0;0;-3.442019;1
UGA;1;0.0111111;4.454545;6.966024;0;0;-3.442019;1
UKR;0;0.5444444;;7.811974;0;0;;
URY;0;0.3666667;7;9.031214;0;0;-1.07881;1
USA;0;0.4222222;10;10.21574;0;0;0;1
UZB;0;0.4555556;;7.807917;0;1;;
VEN;0;0.0888889;7.136364;9.071078;0;0;-0.7031975;1
VNM;0;0.1777778;6.409091;7.279319;0;1;;1
YEM;0;0.1666667;6.363636;6.64639;0;1;-1.551169;
YUG;0;0.4888889;6.318182;;0;0;-1.203973;
ZAF;1;0.3222222;6.863636;8.885994;0;0;-1.386294;1
ZAR;1;0;3.5;6.866933;0;0;-3.411248;1
ZMB;1;0.1666667;6.636364;6.813445;0;0;-2.97593;
ZWE;1;0.2222222;6;7.696213;0;0;-2.733368;
